,SITE,ORIGINAL SPECIES,ORIGINAL ABUNDANCE,ORIGINAL VOUCHER,QC SPECIES,QC ABUNDANCE,Match/Not Match,Type
73,B13-8328,Amphicteis scaphobranchiata,1.0,,Amphicteis scaphobranchiata,1.0,Match,
63,B13-8328,Amphipholis squamata,6.0,,Amphipholis squamata,6.0,Match,
50,B13-8328,Anoplodactylus erectus,1.0,,Anoplodactylus erectus,1.0,Match,
62,B13-8328,Bipalponephtys cornuta,1.0,,Bipalponephtys cornuta,1.0,Match,
5,B13-8328,Bulla gouldiana,1.0,,Bulla gouldiana,1.0,Match,
4,B13-8328,Caecum californicum,1.0,,Caecum californicum,1.0,Match,
14,B13-8328,Eochelidium sp A,1.0,,Eochelidium sp A,1.0,Match,
77,B13-8328,Leptochelia dubia Cmplx,4.0,,Leptochelia dubia Cmplx,4.0,Match,
71,B13-8328,Mediomastus sp,24.0,,Mediomastus sp,24.0,Match,
67,B13-8328,Microspio pigmentata,1.0,,Microspio pigmentata,1.0,Match,
65,B13-8328,Monticellina siblina,3.0,,Monticellina siblina,3.0,Match,
12,B13-8328,Paranthura japonica,1.0,,Paranthura japonica,1.0,Match,
59,B13-8328,Phyllodoce longipes,1.0,,Phyllodoce longipes,1.0,Match,
52,B13-8328,Polycirrus sp,1.0,,Polycirrus sp,1.0,Match,
1,B13-8328,Psammotreta obesa,1.0,,Psammotreta obesa,1.0,Match,
46,B13-8328,Rudilemboides stenopropodus,18.0,,Rudilemboides stenopropodus,18.0,Match,
9,B13-8328,Tubulanus sp SD1,1.0,1.0,Tubulanus sp SD1,1.0,Match,
32,B13-8328,Zygonemertes virescens,2.0,,Zygonemertes virescens,2.0,Match,
88,B13-8328,ARTHROPODA,2.0,,,,No Match,ID
6,B13-8328,Acteocina carinata,4.0,,,,No Match,ID
26,B13-8328,Acuminodeutopus heteruropus,4.0,,,,No Match,ID
82,B13-8328,Ampelisca brachycladus,1.0,,,,No Match,ID
76,B13-8328,Ampharete labrops,2.0,,,,No Match,ID
72,B13-8328,Amphideutopus oculatus,101.0,,Amphideutopus oculatus,105.0,No Match,Count
69,B13-8328,Amphiodia digitata,2.0,,Amphiodia digitata,1.0,No Match,Count
38,B13-8328,Apionsoma misakianum,1.0,,Apionsoma misakianum,2.0,No Match,Count
37,B13-8328,Apoprionospio pygmaea,1.0,,,,No Match,ID
30,B13-8328,Argopecten ventricosus,1.0,,,,No Match,ID
29,B13-8328,Armandia brevis,22.0,,Armandia brevis,21.0,No Match,Count
28,B13-8328,Bivalvia,1.0,,,,No Match,ID
31,B13-8328,Cerebratulus marginatus,1.0,,,,No Match,ID
3,B13-8328,Chione californiensis,2.0,,Chione californiensis,9.0,No Match,Count
61,B13-8328,Chrysallida eucosmia,1.0,1.0,,,No Match,ID
24,B13-8328,Cirratulidae,1.0,,,,No Match,ID
23,B13-8328,Cooperella subdiaphana,4.0,,Cooperella subdiaphana,2.0,No Match,Count
27,B13-8328,Copepoda,2.0,,,,No Match,ID
22,B13-8328,Corophioidea,2.0,,,,No Match,ID
21,B13-8328,Cossura sp A,1.0,,,,No Match,ID
20,B13-8328,Crepipatella lingulata,1.0,,,,No Match,ID
8,B13-8328,Diplocirrus sp SD1,1.0,,,,No Match,ID
10,B13-8328,Edwardsia californica,86.0,5.0,Edwardsia californica,96.0,No Match,Count
18,B13-8328,Edwardsia juliae,7.0,,,,No Match,ID
17,B13-8328,Edwardsiidae,11.0,,,,No Match,ID
16,B13-8328,Ericthonius brasiliensis,47.0,,Ericthonius brasiliensis,50.0,No Match,Count
15,B13-8328,Euchone limnicola,146.0,,Euchone limnicola,142.0,No Match,Count
87,B13-8328,Euphilomedes carcharodonta,46.0,,Euphilomedes carcharodonta,49.0,No Match,Count
86,B13-8328,Exogone lourei,50.0,,Exogone lourei,49.0,No Match,Count
85,B13-8328,Fabricinuda limnicola,850.0,,Fabricinuda limnicola,821.0,No Match,Count
58,B13-8328,Facelinidae,1.0,,,,No Match,ID
84,B13-8328,Glycera americana,1.0,,,,No Match,ID
83,B13-8328,Goniada littorea,45.0,,Goniada littorea,44.0,No Match,Count
81,B13-8328,Hartmanodes sp SD1,3.0,3.0,,,No Match,ID
80,B13-8328,Hemiproto sp A,40.0,,,,No Match,ID
79,B13-8328,Laevicardium substriatum,17.0,,Laevicardium substriatum,16.0,No Match,Count
78,B13-8328,Leitoscoloplos pugettensis,1.0,,,,No Match,ID
2,B13-8328,Leukoma staminea,5.0,,,,No Match,ID
75,B13-8328,Lyonsia californica,10.0,,Lyonsia californica,2.0,No Match,Count
74,B13-8328,Mactridae,3.0,,,,No Match,ID
13,B13-8328,Mayerella acanthopoda,3.0,,Mayerella acanthopoda,2.0,No Match,Count
70,B13-8328,Megalomma pigmentum,29.0,,Megalomma pigmentum,42.0,No Match,Count
66,B13-8328,Molgula napiformis,39.0,,,,No Match,ID
19,B13-8328,Musculista senhousia,3.0,,Musculista senhousia,4.0,No Match,Count
64,B13-8328,Nematoda,5.0,,,,No Match,ID
7,B13-8328,Nicolea sp A,1.0,1.0,,,No Match,ID
60,B13-8328,Oligochaeta,7.0,,,,No Match,ID
68,B13-8328,Paramicrodeutopus schmitti,13.0,,Paramicrodeutopus schmitti,14.0,No Match,Count
57,B13-8328,Phyllodoce hartmanae,1.0,,Phyllodoce hartmanae,2.0,No Match,Count
56,B13-8328,Phyllodoce sp,1.0,,,,No Match,ID
55,B13-8328,Piromis sp,1.0,,,,No Match,ID
54,B13-8328,Pista brevibranchiata,15.0,,Pista brevibranchiata,10.0,No Match,Count
53,B13-8328,Pista wui,1.0,,,,No Match,ID
51,B13-8328,Postasterope barnesi,4.0,,Postasterope barnesi,3.0,No Match,Count
49,B13-8328,Prionospio (Prionospio) heterobranchia,5.0,,Prionospio (Prionospio) heterobranchia,4.0,No Match,Count
48,B13-8328,Pseudopolydora paucibranchiata,12.0,,Pseudopolydora paucibranchiata,11.0,No Match,Count
11,B13-8328,Pseudotanais makrothrix,1.0,1.0,,,No Match,ID
47,B13-8328,Pyromaia tuberculata,3.0,2.0,,,No Match,ID
25,B13-8328,Sabellidae,2.0,,,,No Match,ID
45,B13-8328,Scolelepis sp,1.0,,,,No Match,ID
44,B13-8328,Scoletoma sp,1.0,,,,No Match,ID
