SITE,ORIGINAL SPECIES,ORIGINAL ABUNDANCE,ORIGINAL VOUCHER,Unnamed: 4,QC SPECIES,QC ABUNDANCE,Match /           Not Match,Type,Lines Involved in Resolve,Discrep Class,Resolve code,Taxa change      (Add / Remove),Abund changes (+/-),Unnamed: 14,Completed by QC officer,Unnamed: 16,Unnamed: 17,RESOLVED SPECIES,RESOLVED ABUNDANCE,Resolution Comments
B13-8328,Acteocina carinata,4,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Acuminodeutopus heteruropus,4,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Ampelisca brachycladus,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Ampharete labrops,2,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Amphideutopus oculatus,101,,,Amphideutopus oculatus,105,Not Match,Count,,,,,,,,,,,,
B13-8328,Amphiodia digitata,2,,,Amphiodia digitata,1,Not Match,Count,,,,,,,,,,,,
B13-8328,Apionsoma misakianum,1,,,Apionsoma misakianum,2,Not Match,Count,,,,,,,,,,,,
B13-8328,Apoprionospio pygmaea,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Argopecten ventricosus,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Armandia brevis,22,,,Armandia brevis,21,Not Match,Count,,,,,,,,,,,,
B13-8328,Bivalvia,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Cerebratulus marginatus,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Chione californiensis,2,,,Chione californiensis,9,Not Match,Count,,,,,,,,,,,,
B13-8328,Cirratulidae,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Cooperella subdiaphana,4,,,Cooperella subdiaphana,2,Not Match,Count,,,,,,,,,,,,
B13-8328,Copepoda,2,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Corophioidea,2,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Cossura sp A,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Crepipatella lingulata,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Diplocirrus sp SD1,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Edwardsia californica,86,5,,Edwardsia californica,96,Not Match,Count,,,,,,,,,,,,
B13-8328,Edwardsia juliae,7,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Edwardsiidae,11,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Ericthonius brasiliensis,47,,,Ericthonius brasiliensis,50,Not Match,Count,,,,,,,,,,,,
B13-8328,Euchone limnicola,146,,,Euchone limnicola,142,Not Match,Count,,,,,,,,,,,,
B13-8328,Euphilomedes carcharodonta,46,,,Euphilomedes carcharodonta,49,Not Match,Count,,,,,,,,,,,,
B13-8328,Exogone lourei,50,,,Exogone lourei,49,Not Match,Count,,,,,,,,,,,,
B13-8328,Fabricinuda limnicola,850,,,Fabricinuda limnicola,821,Not Match,Count,,,,,,,,,,,,
B13-8328,Glycera americana,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Goniada littorea,45,,,Goniada littorea,44,Not Match,Count,,,,,,,,,,,,
B13-8328,Hemiproto sp A,40,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Laevicardium substriatum,17,,,Laevicardium substriatum,16,Not Match,Count,,,,,,,,,,,,
B13-8328,Leitoscoloplos pugettensis,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Leukoma staminea,5,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Lyonsia californica,10,,,Lyonsia californica,2,Not Match,Count,,,,,,,,,,,,
B13-8328,Mactridae,3,,,,,Not Match,ID,,,,,,,,,,,,
