,SITE,ORIGINAL SPECIES,ORIGINAL ABUNDANCE,ORIGINAL VOUCHER,QC SPECIES,QC ABUNDANCE,Match/Not Match,Type
0,B13-8328,ARTHROPODA,2.0,,,,No Match,ID
1,B13-8328,Acteocina carinata,4.0,,,,No Match,ID
2,B13-8328,Acuminodeutopus heteruropus,4.0,,,,No Match,ID
3,B13-8328,Ampelisca brachycladus,1.0,,,,No Match,ID
4,B13-8328,Ampharete labrops,2.0,,,,No Match,ID
5,B13-8328,Amphicteis scaphobranchiata,1.0,,Amphicteis scaphobranchiata,1.0,No Match,
6,B13-8328,Amphideutopus oculatus,101.0,,Amphideutopus oculatus,105.0,No Match,Count
7,B13-8328,Amphiodia digitata,2.0,,Amphiodia digitata,1.0,No Match,Count
8,B13-8328,Amphipholis squamata,6.0,,Amphipholis squamata,6.0,No Match,
9,B13-8328,Anoplodactylus erectus,1.0,,Anoplodactylus erectus,1.0,No Match,
10,B13-8328,Apionsoma misakianum,1.0,,Apionsoma misakianum,2.0,No Match,Count
11,B13-8328,Apoprionospio pygmaea,1.0,,,,No Match,ID
12,B13-8328,Argopecten ventricosus,1.0,,,,No Match,ID
13,B13-8328,Armandia brevis,22.0,,Armandia brevis,21.0,No Match,Count
14,B13-8328,Bipalponephtys cornuta,1.0,,Bipalponephtys cornuta,1.0,No Match,
15,B13-8328,Bivalvia,1.0,,,,No Match,ID
16,B13-8328,Bulla gouldiana,1.0,,Bulla gouldiana,1.0,No Match,
17,B13-8328,Caecum californicum,1.0,,Caecum californicum,1.0,No Match,
18,B13-8328,Cerebratulus marginatus,1.0,,,,No Match,ID
19,B13-8328,Chione californiensis,2.0,,Chione californiensis,9.0,No Match,Count
20,B13-8328,Chrysallida eucosmia,1.0,1.0,,,No Match,ID
21,B13-8328,Cirratulidae,1.0,,,,No Match,ID
22,B13-8328,Cooperella subdiaphana,4.0,,Cooperella subdiaphana,2.0,No Match,Count
23,B13-8328,Copepoda,2.0,,,,No Match,ID
24,B13-8328,Corophioidea,2.0,,,,No Match,ID
25,B13-8328,Cossura sp A,1.0,,,,No Match,ID
26,B13-8328,Crepipatella lingulata,1.0,,,,No Match,ID
27,B13-8328,Diplocirrus sp SD1,1.0,,,,No Match,ID
28,B13-8328,Edwardsia californica,86.0,5.0,Edwardsia californica,96.0,No Match,Count
29,B13-8328,Edwardsia juliae,7.0,,,,No Match,ID
30,B13-8328,Edwardsiidae,11.0,,,,No Match,ID
31,B13-8328,Eochelidium sp A,1.0,,Eochelidium sp A,1.0,No Match,
32,B13-8328,Ericthonius brasiliensis,47.0,,Ericthonius brasiliensis,50.0,No Match,Count
33,B13-8328,Euchone limnicola,146.0,,Euchone limnicola,142.0,No Match,Count
34,B13-8328,Euphilomedes carcharodonta,46.0,,Euphilomedes carcharodonta,49.0,No Match,Count
35,B13-8328,Exogone lourei,50.0,,Exogone lourei,49.0,No Match,Count
36,B13-8328,Fabricinuda limnicola,850.0,,Fabricinuda limnicola,821.0,No Match,Count
37,B13-8328,Facelinidae,1.0,,,,No Match,ID
38,B13-8328,Glycera americana,1.0,,,,No Match,ID
39,B13-8328,Goniada littorea,45.0,,Goniada littorea,44.0,No Match,Count
40,B13-8328,Hartmanodes sp SD1,3.0,3.0,,,No Match,ID
41,B13-8328,Hemiproto sp A,40.0,,,,No Match,ID
42,B13-8328,Laevicardium substriatum,17.0,,Laevicardium substriatum,16.0,No Match,Count
43,B13-8328,Leitoscoloplos pugettensis,1.0,,,,No Match,ID
44,B13-8328,Leptochelia dubia Cmplx,4.0,,Leptochelia dubia Cmplx,4.0,No Match,
45,B13-8328,Leukoma staminea,5.0,,,,No Match,ID
46,B13-8328,Lyonsia californica,10.0,,Lyonsia californica,2.0,No Match,Count
47,B13-8328,Mactridae,3.0,,,,No Match,ID
