ORIGINAL SPECIES,ORIGINAL ABUNDANCE,ORIGINAL VOUCHER,SITE
Theora lubrica,7,,B13-8328
Psammotreta obesa,1,,B13-8328
Leukoma staminea,5,,B13-8328
Chione californiensis,2,,B13-8328
Caecum californicum,1,,B13-8328
Bulla gouldiana,1,,B13-8328
Acteocina carinata,4,,B13-8328
Nicolea sp A,1,1,B13-8328
Diplocirrus sp SD1,1,,B13-8328
Tubulanus sp SD1,1,1,B13-8328
Edwardsia californica,86,5,B13-8328
Pseudotanais makrothrix,1,1,B13-8328
Paranthura japonica,1,,B13-8328
Mayerella acanthopoda,3,,B13-8328
Eochelidium sp A,1,,B13-8328
Euchone limnicola,146,,B13-8328
Ericthonius brasiliensis,47,,B13-8328
Edwardsiidae,11,,B13-8328
Edwardsia juliae,7,,B13-8328
Musculista senhousia,3,,B13-8328
Crepipatella lingulata,1,,B13-8328
Cossura sp A,1,,B13-8328
Corophioidea,2,,B13-8328
Cooperella subdiaphana,4,,B13-8328
Cirratulidae,1,,B13-8328
Sabellidae,2,,B13-8328
Acuminodeutopus heteruropus,4,,B13-8328
Copepoda,2,,B13-8328
Bivalvia,1,,B13-8328
Armandia brevis,22,,B13-8328
Argopecten ventricosus,1,,B13-8328
Cerebratulus marginatus,1,,B13-8328
Zygonemertes virescens,2,,B13-8328
Zeuxo sp,1,,B13-8328
Zaolutus actius,1,,B13-8328
Tubulanus polymorphus,3,,B13-8328
Tubulanus cingulatus,1,,B13-8328
Apoprionospio pygmaea,1,,B13-8328
Apionsoma misakianum,1,,B13-8328
Veneridae,2,,B13-8328
Tagelus californianus,8,,B13-8328
Spiophanes duplex,22,,B13-8328
Spiochaetopterus costarum Cmplx,2,,B13-8328
Sphaerosyllis californiensis,1,,B13-8328
Scoletoma sp,1,,B13-8328
Scolelepis sp,1,,B13-8328
Rudilemboides stenopropodus,18,,B13-8328
Pyromaia tuberculata,3,2,B13-8328
Pseudopolydora paucibranchiata,12,,B13-8328
Prionospio (Prionospio) heterobranchia,5,,B13-8328
Anoplodactylus erectus,1,,B13-8328
Postasterope barnesi,4,,B13-8328
Polycirrus sp,1,,B13-8328
Pista wui,1,,B13-8328
Pista brevibranchiata,15,,B13-8328
Piromis sp,1,,B13-8328
Phyllodoce sp,1,,B13-8328
Phyllodoce hartmanae,1,,B13-8328
Facelinidae,1,,B13-8328
Phyllodoce longipes,1,,B13-8328
Oligochaeta,7,,B13-8328
Chrysallida eucosmia,1,1,B13-8328
Bipalponephtys cornuta,1,,B13-8328
Amphipholis squamata,6,,B13-8328
Nematoda,5,,B13-8328
Monticellina siblina,3,,B13-8328
Molgula napiformis,39,,B13-8328
Microspio pigmentata,1,,B13-8328
Paramicrodeutopus schmitti,13,,B13-8328
Amphiodia digitata,2,,B13-8328
Megalomma pigmentum,29,,B13-8328
Mediomastus sp,24,,B13-8328
Amphideutopus oculatus,101,,B13-8328
Amphicteis scaphobranchiata,1,,B13-8328
Mactridae,3,,B13-8328
Lyonsia californica,10,,B13-8328
Ampharete labrops,2,,B13-8328
Leptochelia dubia Cmplx,4,,B13-8328
Leitoscoloplos pugettensis,1,,B13-8328
Laevicardium substriatum,17,,B13-8328
Hemiproto sp A,40,,B13-8328
Hartmanodes sp SD1,3,3,B13-8328
Ampelisca brachycladus,1,,B13-8328
Goniada littorea,45,,B13-8328
Glycera americana,1,,B13-8328
Fabricinuda limnicola,850,,B13-8328
Exogone lourei,50,,B13-8328
Euphilomedes carcharodonta,46,,B13-8328
ARTHROPODA,2,,B13-8328
Euclymeninae sp A,2,,B13-9173
Enteropneusta,1,,B13-9173
Ennucula tenuis,2,,B13-9173
Edwardsia juliae,1,,B13-9173
Aglaophamus verrilli,2,,B13-9173
Cossura candida,2,,B13-9173
Compsomyax subdiaphana,1,1,B13-9173
Clymenura gracilis,1,,B13-9173
Chloeia pinnata,3,,B13-9173
Ceriantharia,1,,B13-9173
Campylaspis canaliculata,1,1,B13-9173
Byblis millsi,3,,B13-9173
Bathymedon pumilus,1,1,B13-9173
Asteroidea,1,,B13-9173
Anopla,1,,B13-9173
Xenoleberis californica,1,1,B13-9173
Volvulella panamica,1,,B13-9173
Virgularia agassizii,1,,B13-9173
Tubulanus polymorphus,1,,B13-9173
Terebellides californica,1,,B13-9173
Aphelochaeta williamsae,3,,B13-9173
Sthenelanella uniformis,2,,B13-9173
Sternaspis affinis,2,,B13-9173
Spiophanes sp,1,,B13-9173
Spiophanes kimballi,4,,B13-9173
Spiophanes berkeleyorum,1,,B13-9173
Spiophanes duplex,5,,B13-9173
Spiochaetopterus costarum Cmplx,9,,B13-9173
Aphelochaeta monilaris,4,,B13-9173
