,ORIGINAL SPECIES,ORIGINAL ABUNDANCE,ORIGINAL VOUCHER,SITE
0,Theora lubrica,7,,B13-8328
1,Psammotreta obesa,1,,B13-8328
2,Leukoma staminea,5,,B13-8328
3,Chione californiensis,2,,B13-8328
4,Caecum californicum,1,,B13-8328
5,Bulla gouldiana,1,,B13-8328
6,Acteocina carinata,4,,B13-8328
7,Nicolea sp A,1,1.0,B13-8328
8,Diplocirrus sp SD1,1,,B13-8328
9,Tubulanus sp SD1,1,1.0,B13-8328
10,Edwardsia californica,86,5.0,B13-8328
11,Pseudotanais makrothrix,1,1.0,B13-8328
12,Paranthura japonica,1,,B13-8328
13,Mayerella acanthopoda,3,,B13-8328
14,Eochelidium sp A,1,,B13-8328
15,Euchone limnicola,146,,B13-8328
16,Ericthonius brasiliensis,47,,B13-8328
17,Edwardsiidae,11,,B13-8328
18,Edwardsia juliae,7,,B13-8328
19,Musculista senhousia,3,,B13-8328
20,Crepipatella lingulata,1,,B13-8328
21,Cossura sp A,1,,B13-8328
22,Corophioidea,2,,B13-8328
23,Cooperella subdiaphana,4,,B13-8328
24,Cirratulidae,1,,B13-8328
25,Sabellidae,2,,B13-8328
26,Acuminodeutopus heteruropus,4,,B13-8328
27,Copepoda,2,,B13-8328
28,Bivalvia,1,,B13-8328
29,Armandia brevis,22,,B13-8328
30,Argopecten ventricosus,1,,B13-8328
31,Cerebratulus marginatus,1,,B13-8328
32,Zygonemertes virescens,2,,B13-8328
33,Zeuxo sp,1,,B13-8328
34,Zaolutus actius,1,,B13-8328
35,Tubulanus polymorphus,3,,B13-8328
36,Tubulanus cingulatus,1,,B13-8328
37,Apoprionospio pygmaea,1,,B13-8328
38,Apionsoma misakianum,1,,B13-8328
39,Veneridae,2,,B13-8328
40,Tagelus californianus,8,,B13-8328
41,Spiophanes duplex,22,,B13-8328
42,Spiochaetopterus costarum Cmplx,2,,B13-8328
43,Sphaerosyllis californiensis,1,,B13-8328
44,Scoletoma sp,1,,B13-8328
45,Scolelepis sp,1,,B13-8328
46,Rudilemboides stenopropodus,18,,B13-8328
47,Pyromaia tuberculata,3,2.0,B13-8328
48,Pseudopolydora paucibranchiata,12,,B13-8328
49,Prionospio (Prionospio) heterobranchia,5,,B13-8328
50,Anoplodactylus erectus,1,,B13-8328
51,Postasterope barnesi,4,,B13-8328
52,Polycirrus sp,1,,B13-8328
53,Pista wui,1,,B13-8328
54,Pista brevibranchiata,15,,B13-8328
55,Piromis sp,1,,B13-8328
56,Phyllodoce sp,1,,B13-8328
57,Phyllodoce hartmanae,1,,B13-8328
58,Facelinidae,1,,B13-8328
59,Phyllodoce longipes,1,,B13-8328
60,Oligochaeta,7,,B13-8328
61,Chrysallida eucosmia,1,1.0,B13-8328
62,Bipalponephtys cornuta,1,,B13-8328
63,Amphipholis squamata,6,,B13-8328
64,Nematoda,5,,B13-8328
65,Monticellina siblina,3,,B13-8328
66,Molgula napiformis,39,,B13-8328
67,Microspio pigmentata,1,,B13-8328
68,Paramicrodeutopus schmitti,13,,B13-8328
69,Amphiodia digitata,2,,B13-8328
70,Megalomma pigmentum,29,,B13-8328
71,Mediomastus sp,24,,B13-8328
72,Amphideutopus oculatus,101,,B13-8328
73,Amphicteis scaphobranchiata,1,,B13-8328
74,Mactridae,3,,B13-8328
75,Lyonsia californica,10,,B13-8328
76,Ampharete labrops,2,,B13-8328
77,Leptochelia dubia Cmplx,4,,B13-8328
78,Leitoscoloplos pugettensis,1,,B13-8328
79,Laevicardium substriatum,17,,B13-8328
80,Hemiproto sp A,40,,B13-8328
81,Hartmanodes sp SD1,3,3.0,B13-8328
82,Ampelisca brachycladus,1,,B13-8328
83,Goniada littorea,45,,B13-8328
84,Glycera americana,1,,B13-8328
85,Fabricinuda limnicola,850,,B13-8328
86,Exogone lourei,50,,B13-8328
87,Euphilomedes carcharodonta,46,,B13-8328
88,ARTHROPODA,2,,B13-8328
89,Euclymeninae sp A,2,,B13-9173
90,Enteropneusta,1,,B13-9173
91,Ennucula tenuis,2,,B13-9173
92,Edwardsia juliae,1,,B13-9173
93,Aglaophamus verrilli,2,,B13-9173
94,Cossura candida,2,,B13-9173
95,Compsomyax subdiaphana,1,1.0,B13-9173
96,Clymenura gracilis,1,,B13-9173
97,Chloeia pinnata,3,,B13-9173
98,Ceriantharia,1,,B13-9173
99,Campylaspis canaliculata,1,1.0,B13-9173
100,Byblis millsi,3,,B13-9173
101,Bathymedon pumilus,1,1.0,B13-9173
102,Asteroidea,1,,B13-9173
103,Anopla,1,,B13-9173
104,Xenoleberis californica,1,1.0,B13-9173
105,Volvulella panamica,1,,B13-9173
106,Virgularia agassizii,1,,B13-9173
107,Tubulanus polymorphus,1,,B13-9173
108,Terebellides californica,1,,B13-9173
109,Aphelochaeta williamsae,3,,B13-9173
110,Sthenelanella uniformis,2,,B13-9173
111,Sternaspis affinis,2,,B13-9173
112,Spiophanes sp,1,,B13-9173
113,Spiophanes kimballi,4,,B13-9173
114,Spiophanes berkeleyorum,1,,B13-9173
115,Spiophanes duplex,5,,B13-9173
116,Spiochaetopterus costarum Cmplx,9,,B13-9173
117,Aphelochaeta monilaris,4,,B13-9173
118,Scoletoma tetraura Cmplx,11,,B13-9173
119,Scoletoma sp,1,,B13-9173
120,Saxicavella pacifica,4,4.0,B13-9173
121,Saxicavella nybakkeni,1,1.0,B13-9173
122,Kurtiella tumida,5,5.0,B13-9173
123,Rhepoxynius bicuspidatus,3,,B13-9173
124,Rhachotropis sp A,1,1.0,B13-9173
125,Protomedeia articulata Cmplx,4,3.0,B13-9173
126,Polyschides quadrifissatus,1,1.0,B13-9173
127,Poecilochaetus martini,1,,B13-9173
128,Anobothrus gracilis,2,,B13-9173
129,Pinnixa sp,1,,B13-9173
130,Pholoe glabra,6,,B13-9173
131,Petaloclymene pacifica,7,,B13-9173
132,Pectinaria californiensis,1,,B13-9173
