QC SPECIES,QC ABUNDANCE,SITE
Protomima imitatrix,42,B13-8328
Scolelepis (Parascolelepis) texana,1,B13-8328
Rudilemboides stenopropodus,18,B13-8328
Psammotreta obesa,1,B13-8328
Pseudopolydora paucibranchiata,11,B13-8328
Prionospio (Prionospio) heterobranchia,4,B13-8328
Polycirrus sp,1,B13-8328
Prionospio (Prionospio) sp,2,B13-8328
Sphaerosyllis californiensis,2,B13-8328
Scoletoma sp B,1,B13-8328
Spiophanes duplex,20,B13-8328
Spiophanes sp,2,B13-8328
Tagelus sp,8,B13-8328
Tubulanus polymorphus,2,B13-8328
Tergipedidae,1,B13-8328
Veneroidea,5,B13-8328
Tubulanus sp SD1,1,B13-8328
Venerida,1,B13-8328
Zeuxo normani,1,B13-8328
Zygonemertes virescens,2,B13-8328
Monticellina siblina,3,B13-8328
Musculista senhousia,4,B13-8328
Megalomma pigmentum,42,B13-8328
Mediomastus sp,24,B13-8328
Melinna oculata,1,B13-8328
Microspio pigmentata,1,B13-8328
Molgula sp SD1,38,B13-8328
Notodelphyidae,2,B13-8328
Postasterope barnesi,3,B13-8328
Pista sp,6,B13-8328
Phyllodoce hartmanae,2,B13-8328
Pista brevibranchiata,10,B13-8328
Phyllodoce longipes,1,B13-8328
Paramicrodeutopus schmitti,14,B13-8328
Paranthura japonica,1,B13-8328
Ericerodes hemphillii,1,B13-8328
Eochelidium sp A,1,B13-8328
Edwardsia californica,96,B13-8328
Ericthonius brasiliensis,50,B13-8328
Euphilomedes carcharodonta,49,B13-8328
Euchone limnicola,142,B13-8328
Fabricinuda limnicola,821,B13-8328
Exogone lourei,49,B13-8328
Flabelligeridae,2,B13-8328
Harenactis attenuata,1,B13-8328
Glycera robusta,1,B13-8328
Goniada littorea,44,B13-8328
Laevicardium substriatum,16,B13-8328
Leitoscoloplos sp A,1,B13-8328
Leptopecten latiauratus,1,B13-8328
Leptochelia dubia Cmplx,4,B13-8328
Mayerella acanthopoda,2,B13-8328
Lyonsia californica,2,B13-8328
Lyonsiidae,17,B13-8328
Bipalponephtys cornuta,1,B13-8328
Chaetopteridae,2,B13-8328
Caprellidae,1,B13-8328
Calyptraea fastigiata,1,B13-8328
Bulla gouldiana,1,B13-8328
Caecum californicum,1,B13-8328
Cooperella subdiaphana,2,B13-8328
Chione californiensis,9,B13-8328
Cossura sp,1,B13-8328
Decapoda,2,B13-8328
Apionsoma misakianum,2,B13-8328
Aphelochaeta sp,1,B13-8328
Armandia brevis,21,B13-8328
Amphiodia digitata,1,B13-8328
Amphipholis squamata,6,B13-8328
Anoplodactylus erectus,1,B13-8328
Amphipoda,2,B13-8328
Anopla,1,B13-8328
Amphiodia sp,1,B13-8328
Amphideutopus oculatus,105,B13-8328
Amphicteis scaphobranchiata,1,B13-8328
Ampharete sp,2,B13-8328
Ampelisca agassizi,1,B13-8328
Acteocina inculta,4,B13-8328
Decapoda,1,B13-9173
Cossura candida,2,B13-9173
Chloeia pinnata,3,B13-9173
Clymenura gracilis,1,B13-9173
Chaetopteridae,10,B13-9173
Byblis millsi,3,B13-9173
Amphiuridae,2,B13-9173
Aphelochaeta glandaria Cmplx,2,B13-9173
Anobothrus gracilis,2,B13-9173
Aphelochaeta sp,4,B13-9173
Aphelochaeta monilaris,4,B13-9173
Amphiodia sp,6,B13-9173
Amphiodia urtica,58,B13-9173
Aglaophamus verrilli,2,B13-9173
Ampelisca brevisimulata,1,B13-9173
Ampelisca careyi,2,B13-9173
Ampelisca pacifica,3,B13-9173
Lumbrineridae,1,B13-9173
Lumbrineris sp,5,B13-9173
Lysippe sp,1,B13-9173
Maldane sarsi,2,B13-9173
Malmgreniella sanpedroensis,2,B13-9173
Malmgreniella sp,1,B13-9173
Heterophoxus sp,1,B13-9173
Levinsenia gracilis,1,B13-9173
Listriolobus pelodes,4,B13-9173
Gymnonereis crosslandi,1,B13-9173
Goniada brunnea,2,B13-9173
Heterophoxus ellisi,1,B13-9173
Heterophoxus oculatus,12,B13-9173
Glycera nana,2,B13-9173
Glycinde armigera,1,B13-9173
Euclymeninae sp A,3,B13-9173
Euclymeninae,3,B13-9173
Edwardsiidae,1,B13-9173
Ennucula tenuis,2,B13-9173
Sipuncula,1,B13-9173
Scoletoma tetraura Cmplx,6,B13-9173
Stylatula elongata,1,B13-9173
Sthenelanella uniformis,2,B13-9173
Spiophanes sp,3,B13-9173
Sternaspis affinis,2,B13-9173
Spiophanes duplex,5,B13-9173
Spiophanes berkeleyorum,1,B13-9173
Protomedeia articulata Cmplx,1,B13-9173
Rhepoxynius bicuspidatus,3,B13-9173
Scoletoma sp,6,B13-9173
Terebellides californica,1,B13-9173
Tubulanidae sp C,1,B13-9173
Virgularia sp,1,B13-9173
Volvulella panamica,1,B13-9173
Zygeupolia rubens,1,B13-9173
Nicippe tumida,1,B13-9173
Nephtys simoni,3,B13-9173
Mediomastus sp,2,B13-9173
Lysippe sp B,1,B13-9173
Monticellina tesselata,2,B13-9173
Monticellina cryptica,2,B13-9173
Poecilochaetus martini,1,B13-9173
Pinnotheridae,1,B13-9173
Pectinaria californiensis,1,B13-9173
Petaloclymene pacifica,9,B13-9173
Pholoe glabra,7,B13-9173
Paramage scutata,1,B13-9173
Paraprionospio alata,1,B13-9174
Pectinaria californiensis,2,B13-9174
Pista wui,1,B13-9174
Prionospio (Prionospio) ehlersi,1,B13-9174
Melinna heterodonta,2,B13-9174
Nuculana conceptionis,1,B13-9174
Venerida,1,B13-9174
Saxicavella pacifica,3,B13-9174
Rhabdus dalli,4,B13-9174
Rhabdus rectius,2,B13-9174
Spatangus californicus,1,B13-9174
Eranno lagunae,1,B13-9174
Glycinde armigera,1,B13-9174
Malmgreniella scriptoria,1,B13-9174
Macoma carlottensis,7,B13-9174
Lumbrineris sp,1,B13-9174
Aglaophamus erectans,1,B13-9174
Aphelochaeta monilaris,21,B13-9174
Araphura cuspirostris,1,B13-9174
Bipalponephtys cornuta,1,B13-9174
Chloeia pinnata,6,B13-9174
Chaetoderma nanulum,1,B13-9174
Chloeia pinnata,13,B13-9178
Dentaliida,1,B13-9178
Bipalponephtys cornuta,2,B13-9178
Brisaster townsendi,1,B13-9178
Aphelochaeta monilaris,1,B13-9178
Ancistrosyllis groenlandica,1,B13-9178
Ampelisca unsocalae,1,B13-9178
Lumbrineris sp,1,B13-9178
Macoma carlottensis,16,B13-9178
Heteromastus filobranchus,6,B13-9178
Kurtiella compressa,2,B13-9178
Glycinde armigera,2,B13-9178
Glycera nana,1,B13-9178
Heterophoxus ellisi,1,B13-9178
Hesperonoe laevis,1,B13-9178
Heteromastus sp,5,B13-9178
Enteropneusta,1,B13-9178
Falcidens hartmanae,2,B13-9178
Saxicavella pacifica,14,B13-9178
Saccoglossus sp,1,B13-9178
Nuculana conceptionis,2,B13-9178
Melinna heterodonta,5,B13-9178
