,QC SPECIES,QC ABUNDANCE,SITE
0,Protomima imitatrix,42,B13-8328
1,Scolelepis (Parascolelepis) texana,1,B13-8328
2,Rudilemboides stenopropodus,18,B13-8328
3,Psammotreta obesa,1,B13-8328
4,Pseudopolydora paucibranchiata,11,B13-8328
5,Prionospio (Prionospio) heterobranchia,4,B13-8328
6,Polycirrus sp,1,B13-8328
7,Prionospio (Prionospio) sp,2,B13-8328
8,Sphaerosyllis californiensis,2,B13-8328
9,Scoletoma sp B,1,B13-8328
10,Spiophanes duplex,20,B13-8328
11,Spiophanes sp,2,B13-8328
12,Tagelus sp,8,B13-8328
13,Tubulanus polymorphus,2,B13-8328
14,Tergipedidae,1,B13-8328
15,Veneroidea,5,B13-8328
16,Tubulanus sp SD1,1,B13-8328
17,Venerida,1,B13-8328
18,Zeuxo normani,1,B13-8328
19,Zygonemertes virescens,2,B13-8328
20,Monticellina siblina,3,B13-8328
21,Musculista senhousia,4,B13-8328
22,Megalomma pigmentum,42,B13-8328
23,Mediomastus sp,24,B13-8328
24,Melinna oculata,1,B13-8328
25,Microspio pigmentata,1,B13-8328
26,Molgula sp SD1,38,B13-8328
27,Notodelphyidae,2,B13-8328
28,Postasterope barnesi,3,B13-8328
29,Pista sp,6,B13-8328
30,Phyllodoce hartmanae,2,B13-8328
31,Pista brevibranchiata,10,B13-8328
32,Phyllodoce longipes,1,B13-8328
33,Paramicrodeutopus schmitti,14,B13-8328
34,Paranthura japonica,1,B13-8328
35,Ericerodes hemphillii,1,B13-8328
36,Eochelidium sp A,1,B13-8328
37,Edwardsia californica,96,B13-8328
38,Ericthonius brasiliensis,50,B13-8328
39,Euphilomedes carcharodonta,49,B13-8328
40,Euchone limnicola,142,B13-8328
41,Fabricinuda limnicola,821,B13-8328
42,Exogone lourei,49,B13-8328
43,Flabelligeridae,2,B13-8328
44,Harenactis attenuata,1,B13-8328
45,Glycera robusta,1,B13-8328
46,Goniada littorea,44,B13-8328
47,Laevicardium substriatum,16,B13-8328
48,Leitoscoloplos sp A,1,B13-8328
49,Leptopecten latiauratus,1,B13-8328
50,Leptochelia dubia Cmplx,4,B13-8328
51,Mayerella acanthopoda,2,B13-8328
52,Lyonsia californica,2,B13-8328
53,Lyonsiidae,17,B13-8328
54,Bipalponephtys cornuta,1,B13-8328
55,Chaetopteridae,2,B13-8328
56,Caprellidae,1,B13-8328
57,Calyptraea fastigiata,1,B13-8328
58,Bulla gouldiana,1,B13-8328
59,Caecum californicum,1,B13-8328
60,Cooperella subdiaphana,2,B13-8328
61,Chione californiensis,9,B13-8328
62,Cossura sp,1,B13-8328
63,Decapoda,2,B13-8328
64,Apionsoma misakianum,2,B13-8328
65,Aphelochaeta sp,1,B13-8328
66,Armandia brevis,21,B13-8328
67,Amphiodia digitata,1,B13-8328
68,Amphipholis squamata,6,B13-8328
